LU_GRP,DORCODE
INVALID CODE,9013
COMM./OFFICE,2812
MULTI-FAMILY,0398
STORE/SHP CENTE,1305
PRIVATE GC,3810
MULTI-FAMILY,0621
INSTITUTIONAL,7300
INVALID CODE,0611
LIGHT INDUS.,4812
COMM./OFFICE,3912
COMM./OFFICE,3932
INVALID CODE,6910
COMM./OFFICE,3933
MULTI-FAMILY,0650
MULTI-FAMILY,0660
COMM./OFFICE,3914
MULTI-FAMILY,0397
INVALID CODE,9016
INVALID CODE,9025
LIGHT INDUS.,4814
COMM./OFFICE,3100
INVALID CODE,8703
INVALID CODE,8739
EXEC/PRACTICE GC,3840
VACANT ACREAGE,9900
INVALID CODE,9929
INVALID CODE,7525
INSTITUTIONAL,8510
COMM./OFFICE,3700
COMM./OFFICE,2811
STORE/SHP CENTE,1510
SEMI PRIVATE GC,3820
INVALID CODE,9015
GOVERNMENT,8100
